gate,rank,line,module,unit,gate_type,combined_score,lti range,lti start,welcht,weight
skivav/g153755,38,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__o32ai_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g153242,39,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__o22ai_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g153242,39,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__o22ai_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g153242,39,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__o22ai_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g153074,40,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a221oi_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g153074,40,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a221oi_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g153074,40,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a221oi_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/g153006,41,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a222oi_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/g153006,41,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a222oi_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/g153006,41,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a222oi_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/core_execute_pipe_pipe_reg_reg[125],43,{{../../rtl/skivav/pipeline_register.v 42 17}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__dfxtp_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/core_execute_pipe_pipe_reg_reg[125],43,{{../../rtl/skivav/pipeline_register.v 42 17}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__dfxtp_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/core_execute_pipe_pipe_reg_reg[125],43,{{../../rtl/skivav/pipeline_register.v 42 17}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__dfxtp_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
